manual_geocode_id,CONTROL,TESTERID,HSITEAD,HSITETYP,HUNITNO,HCITY,HSTATE,HZIP,lat,long,blockgroup_geoid,block_geoid,distance_km,flag_class,manual_lat,manual_long,manual_source,manual_notes,review_complete,drop_row
AQ-SA-2904-1 | AQ037 | Model home on Vista Del Colinas | Rio Rancho | NM | 87124,AQ-SA-2904-1,AQ037,Model home on Vista Del Colinas,,,Rio Rancho,NM,87124,35.247884,-106.686006,3.5043E+11,3.5043E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: model/layout text mixed into address,,
AQ-SA-3103-1 | AQ022 | 754  New Mexico 333 | Tijeras | NM | 87059,AQ-SA-3103-1,AQ022,754  New Mexico 333,,,Tijeras,NM,87059,35.09986663,-106.3535324,3.5001E+11,3.5001E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: two separated house-number tokens,,
AQ-SB-4408-1 | AQ091 | Covington/Model Home | Albuquerque | NM | 87121,AQ-SB-4408-1,AQ091,Covington/Model Home,,,Albuquerque,NM,87121,35.0527815,-106.7334103,3.5001E+11,3.5001E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: model/layout text mixed into address,,
AQ-SB-4408-1 | AQ091 | Sananah/Model Home | Albuquerque | NM | 87121,AQ-SB-4408-1,AQ091,Sananah/Model Home,,,Albuquerque,NM,87121,35.0527815,-106.7334103,3.5001E+11,3.5001E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: model/layout text mixed into address,,
"AQ-SH-0701-1 | AQ030 | Park Plaza,1331 Park Av SW | Albuquerque | -1 | ",AQ-SH-0701-1,AQ030,"Park Plaza,1331 Park Av SW",,301,Albuquerque,-1,,35.08738086,-106.662827,3.5001E+11,3.5001E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: second address-like segment after comma,,
"AQ-SH-0701-1 | AQ030 | Park Plaza,1331 Park Av SW | Albuquerque | NM | 87102",AQ-SH-0701-1,AQ030,"Park Plaza,1331 Park Av SW",,304,Albuquerque,NM,87102,35.08589283,-106.6629479,3.5001E+11,3.5001E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: second address-like segment after comma,,
AQ-SH-0704-1 | AQ086 | 2837-1/2 John St. SE | Albuqerque | NM | 87102,AQ-SH-0704-1,AQ086,2837-1/2 John St. SE,,,Albuqerque,NM,87102,35.05212515,-106.6471382,3.5001E+11,3.5001E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: slash-separated address content; two separated house-number tokens,,
"AQ-SH-4209-1 | AQ112 | 7727 Modesto, Ave, NE | Albuquerque | NM | 87122",AQ-SH-4209-1,AQ112,"7727 Modesto, Ave, NE",,,Albuquerque,NM,87122,35.18884982,-106.5585112,3.5001E+11,3.5001E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: contains city/state/ZIP inside HSITEAD,,
AT-SA-5020-1 | AT105 | 2255 Well Springs Lot 120 Dr | Buford | GA | 30519,AT-SA-5020-1,AT105,2255 Well Springs Lot 120 Dr,,,Buford,GA,30519,34.083356,-83.88665707,1.31351E+11,1.31351E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: lot number mixed into address,,
AT-SB-1201-1 | AT070 | MODEL HOME | MCDONOUGH | GA | 30253,AT-SB-1201-1,AT070,MODEL HOME,,,MCDONOUGH,GA,30253,33.4450371,-84.1726044,1.31511E+11,1.31511E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: model/layout text mixed into address,,
"AT-SB-3807-1 | AT081 | 65 WHIPPORWILL DR,2461 HIGHLAND GOLF COURSE | OXFORD | GA | 30054",AT-SB-3807-1,AT081,"65 WHIPPORWILL DR,2461 HIGHLAND GOLF COURSE",,,OXFORD,GA,30054,33.67222635,-83.90964329,1.32171E+11,1.32171E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: second address-like segment after comma; two separated house-number tokens,,
AT-SB-3911-1 | AT070 | 2739 PITLOCHRY ST  1701 CANTERBURY PTE SE | CONYERS | GA | 30013,AT-SB-3911-1,AT070,2739 PITLOCHRY ST  1701 CANTERBURY PTE SE,,,CONYERS,GA,30013,33.62024251,-83.99852224,1.32471E+11,1.32471E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: two separated house-number tokens,,
BN-SH-5814-1 | BN180 | 6 1/2 King | Methuen | MA | 01844,BN-SH-5814-1,BN180,6 1/2 King,,,Methuen,MA,1844,42.72230907,-71.155934,2.50093E+11,2.50093E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: slash-separated address content; two separated house-number tokens,,
CH-SB-5206-1 | CH128 | Tanglewood (drive by only) | Geneva | IL | 60134,CH-SB-5206-1,CH128,Tanglewood (drive by only),,,Geneva,IL,60134,41.83599238,-88.36095422,1.70899E+11,1.70899E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: model/layout text mixed into address,,
CO-SB-1502-1 | CO052 | 506 Crawfish Lane  #19 | Irmo | SC | 29063,CO-SB-1502-1,CO052,506 Crawfish Lane  #19,,,Irmo,SC,29063,34.16454097,-81.20142324,4.5079E+11,4.5079E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: two separated house-number tokens,,
CO-SB-2303-1 | CO054 | Lot 8 Rose Oak Drive | Irmo | SC | 29063,CO-SB-2303-1,CO054,Lot 8 Rose Oak Drive,,,Irmo,SC,29063,34.1106461,-81.2171091,4.5079E+11,4.5079E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: lot number mixed into address,,
CO-SB-3006-1 | CO054 | 146 Manning Dr. Lot 13 | West Columbia | SC | 29169,CO-SB-3006-1,CO054,146 Manning Dr. Lot 13,,,West Columbia,SC,29169,33.98293829,-81.09010695,4.5063E+11,4.5063E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: lot number mixed into address,,
"CO-SB-3008-1 | CO026 | 212 Bronze Drive, Lot #3 | Lexington | SC | 29063",CO-SB-3008-1,CO026,"212 Bronze Drive, Lot #3",,,Lexington,SC,29063,34.01333387,-81.27845858,4.5063E+11,4.5063E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: two separated house-number tokens,,
"CO-SB-3008-1 | CO026 | 217 Bronze Drive, Lot # 62 | Lexington | SC | 29063",CO-SB-3008-1,CO026,"217 Bronze Drive, Lot # 62",,,Lexington,SC,29063,34.01328103,-81.27830627,4.5063E+11,4.5063E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: two separated house-number tokens,,
"CO-SB-3008-1 | CO026 | 227 Bronze Drive, Lot #61 | Lexington | SC | 29063",CO-SB-3008-1,CO026,"227 Bronze Drive, Lot #61",,,Lexington,SC,29063,34.01309703,-81.27826538,4.5063E+11,4.5063E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: two separated house-number tokens,,
MI-SH-2302-1 | MI049 | 4285 SW  97 CT | MIAMI | FL | 33165,MI-SH-2302-1,MI049,4285 SW  97 CT,,,MIAMI,FL,33165,25.72834444,-80.35225459,1.2086E+11,1.2086E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: two separated house-number tokens,,
"MS-SA-2701-1 | MS102 | 5 Busy Bee Lane,Warren,NJ | Warren | NJ | 07059",MS-SA-2701-1,MS102,"5 Busy Bee Lane,Warren,NJ",,5,Warren,NJ,7059,40.60311063,-74.52977547,3.40351E+11,3.40351E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: contains city/state/ZIP inside HSITEAD,,
MS-SB-2302-1 | MS008 | 1038 Route 202/206 | Bridgewater Twp | NJ | 08807,MS-SB-2302-1,MS008,1038 Route 202/206,,,Bridgewater Twp,NJ,8807,40.62634515,-74.63150624,3.40351E+11,3.40351E+14,,High-confidence multi-address review candidate,,,,high_conf_multi_address_rule: slash-separated address content; two separated house-number tokens,,
