"STOTUNIT","APRACE","CONTROL","SEQUENCE.x","month","HCITY","ARELATE2","HHMTYPE","SAPPTAM","TSEX.x","THHEGAI","TPEGAI","THIGHEDU","TCURTENR","ALGNCUR","AELNG1","DPMTEXP","AMOVERS","age","ALEASETP","ACAROWN","w2012pc_Ad","b2012pc_Ad","a2012pc_Ad","hisp2012pc_Ad","logAdPrice","SAVLBAD","HZIP","HSITEAD","zip_Ad"
16,"1","AQ-SA-3611-1",1,4,"albuquerque",1,3,1,1,"4","4","4",1,3,3,"1","4",27,"1","1",0.597826086956522,0.0260869565217391,0.0608695652173913,0.191304347826087,12.1807599657379,1,"87102","400 Central SE",NA
2,"4","AQ-SA-3612-1",1,4,"Rio Rancho",2,1,1,0,"3","2","7",2,6,8,NA,"8",53,"2","1",0.354656917703804,0.0418521815072051,0.0587711484994794,0.481745323306339,12.354496960984,1,"87124","2345 Cortina Loop SE","""87124"""
3,"1","AQ-SA-3612-1",1,4,"Rio Rancho",2,1,2,0,"2","2","7",1,2,2,"1","2",43,"1","1",0.354656917703804,0.0418521815072051,0.0587711484994794,0.481745323306339,12.354496960984,1,"87124","2345 Cortina Loop SE",NA
9,"1","AQ-SA-3705-1",1,4,"Albuquerque",1,1,2,1,"4","4","4",1,3,3,NA,"-1",27,"1","1",0.583808437856328,0.0501710376282782,0.11630558722919,0.201824401368301,12.2060726455302,1,"87110","1519 Solano Dr NE","""87110"""
1,"1","AQ-SA-3902-1",1,4,"Rio Rancho",3,1,1,0,"1","1","7",2,3,4,"1","1",48,"1","1",0.591192312928225,0.0337271436693446,0,0.347235684744784,11.7360770162524,6,"87144","3473 Martin Meadows Drive NE","""87144"""
4,"4","AQ-SA-3902-1",2,5,"Rio Rancho",3,1,1,0,"3","2","7",2,5,8,"3","3",53,NA,"1",0.591192312928225,0.0337271436693446,0,0.347235684744784,11.7360770162524,6,"87144","3473 Martin Meadows Dr","""87144"""
1,"4","AQ-SA-3902-1",1,4,"Rio Rancho",3,1,2,0,"3","2","7",2,5,8,"3","3",53,NA,"1",0.591192312928225,0.0337271436693446,0,0.347235684744784,11.7360770162524,1,"87144","3473 Martin Meadows Dr","""87144"""
11,"4","AQ-SA-4202-1",1,5,"Los Lunas",2,1,2,0,"3","2","7",2,6,8,"1","2",53,"2","1",0.451888907487403,0.027375200463903,0.00622624570623061,0.486312384711688,12.3234155843582,6,"87031","14 Aspen Terrace","""87031"""
4,"4","AQ-SA-4302-1",1,5,"Los Lunas",2,1,1,0,"3","2","7",2,4,8,"3","2",53,"2","1",0.349400255138163,0.0506155943828236,0,0.432284535810061,12.0137068134704,1,"87031","130 Black Hat Ave SW","""87031"""
1,"4","AQ-SA-4308-1",1,5,"Albuquerque",2,1,2,0,"3","2","7",2,4,6,"3","4",53,"2","1",0.456163119392377,0.0127330604762469,0.045929968146462,0.457025920665291,12.1495075850331,1,"87113","7305 Villa Clavel NE","""87113"""
