Table,,Mothers,Column,Original,Updated,Outside Range,update more discrim,Variance Original,Variance updated,Variance decrease,Original Significance,Updated Significance,Maintain or Improve Significance,,
13B,African,0,1,-0.0085,-0.0139,0,0,0.003,0.0061,0,3,2,0,0,1
13B,Hispanic,0,1,0.0052,0.0035,0,0,0.0033,0.0067,0,0,0,0,0,0
13B,Asian,0,1,0.0032,0.004,0,1,0.0031,0.0065,0,0,0,0,0,0
13B,Overall,0,2,-0.007,-0.0002,0,0,0.0034,0.0074,0,2,0,0,0,1
13B,African,0,2,-0.012,0.0005,0,0,0.0045,0.0094,0,3,0,0,0,1
13B,Hispanic,0,2,-0.0158,-0.0161,0,1,0.0049,0.0106,0,3,0,0,0,1
13B,Asian,0,2,0.0134,0.0128,0,1,0.0046,0.0105,0,3,0,0,0,1
13B,Overall,0,3,-0.0018,0.0008,0,0,0.0035,0.0077,0,0,0,0,0,0
13B,African,0,3,-0.0068,-0.0018,0,0,0.0047,0.0099,0,0,0,0,0,0
13B,Hispanic,0,3,0.0042,0.0049,0,0,0.0051,0.0103,0,0,0,0,0,0
13B,Asian,0,3,0.0028,0.0006,0,1,0.0049,0.0099,0,0,0,0,0,0
13B,Overall,0,4,0.0042,0.0059,0,1,0.0024,0.0049,0,1,0,0,0,1
13B,African,0,4,0.0092,0.0125,0,1,0.0032,0.0064,0,3,1,0,0,1
13B,Hispanic,0,4,-0.0032,-0.001,0,1,0.0035,0.0071,0,0,0,0,0,0
13B,Asian,0,4,0.0059,0.0039,0,0,0.0033,0.0071,0,1,0,0,0,1
13B,Overall,0,5,0.0042,0.0139,0,0,0.0052,0.0114,0,0,0,0,0,0
13B,African,0,5,0.0035,0.011,0,0,0.0069,0.0133,0,0,0,0,0,0
13B,Hispanic,0,5,0.0146,0.0189,0,0,0.0075,0.013,0,1,0,0,0,1
13B,Asian,0,5,0.0139,0.013,0,1,0.0072,0.0171,0,1,0,0,0,1
14A,Overall,0,1,-0.0064,0.0583,0,1,0.0481,0.047,1,0,0,0,0,0
14A,African,0,1,-0.0019,0.0065,0,1,0.0149,0.0152,0,0,0,0,0,0
14A,Hispanic,0,1,0.0733,0.0317,0,0,0.0442,0.041,1,1,0,0,0,1
14A,Asian,0,1,0.1169,0.1221,0,1,0.051,0.0409,1,2,3,1,0,0
14B,Overall,0,1,-0.0117,0.0099,0,0,0.0336,0.0438,0,0,0,0,0,0
14B,African,0,1,0.0263,-0.0115,0,1,0.0404,0.0467,0,0,0,0,0,0
14B,Hispanic,0,1,0.0307,0.0984,0,0,0.0664,0.0649,1,0,0,0,0,0
14B,Asian,0,1,-0.0899,-0.0065,0,0,0.0561,0.0642,0,0,0,0,0,0
14B,Overall,0,2,-0.0116,0.01,0,0,0.0336,0.0438,0,0,0,0,0,0
14B,African,0,2,0.0262,-0.0115,0,1,0.0404,0.0467,0,0,0,0,0,0
14B,Hispanic,0,2,0.0305,0.0984,0,0,0.0665,0.0649,1,0,0,0,0,0
14B,Asian,0,2,-0.0897,-0.0063,0,0,0.0561,0.0642,0,0,0,0,0,0
14B,Overall,0,3,-0.0107,0.0113,0,0,0.0336,0.0441,0,0,0,0,0,0
14B,African,0,3,0.0275,-0.0112,0,1,0.0404,0.0468,0,0,0,0,0,0
14B,Hispanic,0,3,0.0362,0.1032,0,0,0.0671,0.064,1,0,0,0,0,0
14B,Asian,0,3,-0.0896,-0.0056,0,0,0.056,0.0646,0,0,0,0,0,0
14B,Overall,0,4,-0.054,0.0104,0,0,0.0371,0.044,0,0,0,0,0,0
14B,African,0,4,-0.0363,-0.0113,0,0,0.0445,0.0468,0,0,0,0,0,0
14B,Hispanic,0,4,-0.0004,-0.006,0,1,0.0699,0.064,1,0,0,0,0,0
14B,Asian,0,4,-0.1101,-0.0155,0,0,0.0592,0.0646,0,1,0,0,0,1
